**Hair (ผม)**	Inspection	สรุป2026-08-24-pe-head-face-neck
**Scalp (หนังศีรษะ)**	Inspection & Palpation	สรุป2026-08-24-pe-head-face-neck
**Skull (กะโหลกศีรษะ)**	Inspection & Palpation	สรุป2026-08-24-pe-head-face-neck
**Fontanel (เด็ก <2 ปี)**	Palpation	สรุป2026-08-24-pe-head-face-neck
Face	Inspection	สรุป2026-08-24-pe-head-face-neck
Face	Palpation	สรุป2026-08-24-pe-head-face-neck
External configuration	Inspection	สรุป2026-08-24-pe-head-face-neck
Sclera & Conjunctiva	Inspection	สรุป2026-08-24-pe-head-face-neck
**Visual acuity**	Snellen chart (reading test)	สรุป2026-08-24-pe-head-face-neck
**Pinhole test**	ใช้เมื่อ VA แย่กว่า 20/30	สรุป2026-08-24-pe-head-face-neck
**Pupil reaction to light**	Direct/Consensual light reflex	สรุป2026-08-24-pe-head-face-neck
**EOM (Extraocular movement)**	ให้ตามองตามนิ้ว 6 ทิศ	สรุป2026-08-24-pe-head-face-neck
**Eye convergence**	ให้จ้องวัตถุที่เคลื่อนเข้าหาจมูก	สรุป2026-08-24-pe-head-face-neck
**Visual field**	Confrontation test (kinetic)	สรุป2026-08-24-pe-head-face-neck
Auricle/Pinna	Inspection & Palpation	สรุป2026-08-24-pe-head-face-neck
Ear canal	Inspection (Otoscope)	สรุป2026-08-24-pe-head-face-neck
**Whispering test**	ผู้ตรวจยืนห่าง **2 ฟุต** กระซิบ	สรุป2026-08-24-pe-head-face-neck
**Weber test**	ใช้ tuning fork (512, 256 Hz) วางกลางศีรษะ	สรุป2026-08-24-pe-head-face-neck
**Rinne's test**	เทียบ Air conduction (AC) vs Bone conduction (BC)	สรุป2026-08-24-pe-head-face-neck
Internal configuration	Inspection (nasal speculum)	สรุป2026-08-24-pe-head-face-neck
**Sinuses**	Palpation/Percussion (Frontal, Maxillary)	สรุป2026-08-24-pe-head-face-neck
**ลำดับการเกิดไซนัส**	ความรู้ทั่วไป	สรุป2026-08-24-pe-head-face-neck
Lip	Inspection	สรุป2026-08-24-pe-head-face-neck
Buccal mucosa	Inspection	สรุป2026-08-24-pe-head-face-neck
Gum (เหงือก)	Inspection	สรุป2026-08-24-pe-head-face-neck
Teeth	Inspection	สรุป2026-08-24-pe-head-face-neck
Tongue	Inspection	สรุป2026-08-24-pe-head-face-neck
**Tonsils & Pharynx**	Inspection	สรุป2026-08-24-pe-head-face-neck
**Uvula**	Inspection (ให้พูด "อา")	สรุป2026-08-24-pe-head-face-neck
**Soft palate**	Inspection (CN 10)	สรุป2026-08-24-pe-head-face-neck
**Hard palate**	Inspection	สรุป2026-08-24-pe-head-face-neck
Neck	Inspection	สรุป2026-08-24-pe-head-face-neck
Neck (trachea, thyroid)	Palpation	สรุป2026-08-24-pe-head-face-neck
**Weber vs Rinne**	Weber = วางกลางศีรษะ เทียบ 2 หู (บอกว่าหูไหนเสีย); Rinne = เทียบ AC vs BC **หูข้างเดียวกัน** (บอกว่าเสียแบบ conductive หรือ sensorineural)	สรุป2026-08-24-pe-head-face-neck
**Rinne Positive vs Negative**	Positive = ปกติ (AC>BC); **Negative = ผิดปกติ = conductive loss** (BC>AC) — ตรงข้ามสามัญสำนึกที่มักคิดว่า positive แปลว่าผิดปกติ	สรุป2026-08-24-pe-head-face-neck
**Weber lateralize ทิศทาง**	Conductive loss → เสียงดังไป**ข้างที่หูไม่ดี**; Sensorineural loss → เสียงดังไป**ข้างที่หูดี** (จำสลับกันบ่อย)	สรุป2026-08-24-pe-head-face-neck
**Direct vs Consensual light reflex**	Direct = ตรวจ CN II ข้างที่ส่องไฟ (afferent); Consensual = ตรวจ CN III ข้างตรงข้าม (efferent)	สรุป2026-08-24-pe-head-face-neck
**VAcc vs VAsc**	cc = with correction (ใส่แว่น), sc = without correction (ไม่ใส่แว่น) — ตัวย่อภาษาละตินมักสับสน	สรุป2026-08-24-pe-head-face-neck
**Petechia vs Purpura vs Ecchymosis**	Petechia 1–3 mm, Purpura 3–10 mm, Ecchymosis ใหญ่กว่า Purpura — เรียงขนาดเล็ก→ใหญ่	สรุป2026-08-24-pe-head-face-neck
**Papule vs Nodule vs Tumor**	Papule <0.5 cm, Nodule >0.5 cm (ลึกถึงชั้นไขมัน), Tumor >2 cm — เกณฑ์ตัดที่ 0.5 cm และ 2 cm	สรุป2026-08-24-pe-head-face-neck
**Macule vs Patch**	Patch คือ Macule ที่ขนาด >1 cm (ต่างกันแค่ขนาด ไม่ต่างลักษณะ)	สรุป2026-08-24-pe-head-face-neck
**Vesicle vs Bulla**	เกณฑ์ตัดที่ 0.5 cm เช่นกัน (Bulla = Vesicle ที่ใหญ่กว่า)	สรุป2026-08-24-pe-head-face-neck
**Erosion vs Ulcer**	Erosion = ตื้น เฉพาะ epidermis บางส่วน; Ulcer = ลึกถึง dermis/ไขมัน	สรุป2026-08-24-pe-head-face-neck
**Lump/mass ที่ mobile vs fixed (ต่อมน้ำเหลือง)**	เคลื่อนที่ได้ง่าย → มักติดเชื้อ (benign); Hard & fixed ไม่เคลื่อนที่ → สงสัยมะเร็ง/พังผืด	สรุป2026-08-24-pe-head-face-neck
