การประเมินภาวะสุขภาพผู้ป่วยผ่าตัดมีเป้าหมายอะไร และครอบคลุมมิติใดบ้างตาม Nursing Process?	เป้าหมายคือนำไปสู่การวินิจฉัยปัญหาทางการพยาบาลและวางแผน/ให้การพยาบาลที่เหมาะสม เพื่อความปลอดภัยของผู้ป่วยผ่าตัดทุกระยะ (pre-intra-post op) โดยประเมินครอบคลุม 5 มิติ คือ Physiological (ร่างกาย) Psychological (จิตใจ) Sociocultural (สังคมวัฒนธรรม) Spiritual (จิตวิญญาณ) และ Environmental (สิ่งแวดล้อม) - หลักคิดคือผู้ป่วยผ่าตัดไม่ได้มีแค่ปัญหาทางกาย การมองรอบด้านช่วยป้องกันความเสี่ยงที่คาดไม่ถึง เช่น ความวิตกกังวลที่ทำให้ผู้ป่วยไม่ร่วมมือ หรือปัจจัยแวดล้อมที่เพิ่มความเสี่ยงหกล้ม [สไลด์]	topic1
ปัจจัยใดบ้างที่กำหนดว่าการประเมินภาวะสุขภาพจะมีประสิทธิภาพหรือไม่?	3 ปัจจัยหลัก: (1) ความครบถ้วนของข้อมูล (2) ความถูกต้องของข้อมูล (3) มีระบบบันทึกข้อมูลที่ดีและเชื่อถือได้ - ทั้งสามข้อเชื่อมโยงกัน ข้อมูลครบแต่ไม่ถูกต้อง หรือถูกต้องแต่บันทึกไม่ดีจนสื่อสารต่อผิดพลาด ล้วนทำให้การวางแผนพยาบาลผิดพลาดและกระทบ Patient Safety ซึ่งเป็นแกนหลักของหัวข้อนี้ [สไลด์]	topic1
การประเมินภาวะสุขภาพแบ่งเป็น 4 ประเภท อะไรบ้าง และแต่ละแบบใช้ในสถานการณ์ใด?	1) Initial Comprehensive Assessment - ประเมินครอบคลุมทุกระบบตอนแรกรับเข้า รพ. 2) Ongoing/Partial Assessment - ประเมินซ้ำเฉพาะบางส่วนเพื่อติดตามปัญหาที่เคยพบ 3) Focused/Problem-Oriented Assessment - ประเมินเจาะจงเฉพาะปัญหาเมื่อมีข้อมูลพื้นฐานครบแล้ว เช่น ปวดแผลผ่าตัดก็เน้นประเมินเฉพาะแผลและปวด 4) Emergency Assessment - ใช้เมื่อผู้ป่วยมีภาวะคุกคามชีวิต ยึดหลัก ABCD (Airway, Breathing, Circulation, Disability) - ข้อสอบมักให้โจทย์สถานการณ์แล้วถามว่าเป็นประเมินแบบใด ให้ดูจาก "จุดเวลา" และ "ขอบเขต" ของการประเมินเป็นตัวตัดสิน [สไลด์]	topic1
ผู้ป่วยก่อนผ่าตัดมีประวัติกินยาต้านการแข็งตัวของเลือด (anticoagulant) เป็นประจำ จัดอยู่ใน domain การประเมินใด และเสี่ยงต่อภาวะแทรกซ้อนอะไร?	จัดอยู่ใน domain "Bleeding & Medication" ซึ่งต้องประเมิน anticoagulant, antiplatelet และค่าการแข็งตัวของเลือด (coagulation) - ความเสี่ยงหลักคือ Bleeding (เลือดออกผิดปกติระหว่าง/หลังผ่าตัด) พยาบาลจึงต้องซักประวัติยาที่ใช้และอาจต้องประสานแพทย์พิจารณาหยุดยาก่อนผ่าตัดตามระยะเวลาที่เหมาะสม [สไลด์]/[เสริม]	topic1
ก่อนผ่าตัด พยาบาลต้องประเมินอะไรบ้างแบบเร่งด่วน และหาข้อมูลจากแหล่งใดได้บ้าง โดยเฉพาะกรณี Ambulatory surgery?	สิ่งที่ประเมิน: Level of consciousness, Pallor/Cyanosis/Jaundice/ผื่นผิวหนัง/บวม, แผล/บริเวณบาดเจ็บ, ความปวด, สถานะ NPO/IV therapy, Vital signs, ฟันปลอม, Contact lens, ความสามารถช่วยเหลือตนเอง - แหล่งข้อมูล: Quick physical inspection, Review chart, สอบถามญาติ/ผู้ดูแล, และ "โทรศัพท์" ซึ่งใช้เฉพาะกรณี Ambulatory surgery (ผ่าตัดแบบไม่ค้างคืน) เพื่อประเมินความพร้อมก่อนมาถึง รพ. [สไลด์]	topic1
การซักประวัติ (History taking) ก่อนผ่าตัดประกอบด้วยองค์ประกอบใดบ้าง?	6 องค์ประกอบ: Present history (Chief complaint + Present illness), Past medical history, Family history, Psychological history, Social history, และ Functional Health Pattern - ครอบคลุมทั้งมิติกาย ใจ สังคม ตรงกับ 5 มิติของการประเมินที่กล่าวถึงในหลักการทั่วไป [สไลด์]	topic1
COLDSPA คืออะไร ใช้ทำอะไร และจากเคส Acute Appendicitis ในสไลด์ แต่ละตัวอักษรสอดคล้องกับข้อมูลใด?	COLDSPA เป็น mnemonic วิเคราะห์อาการ (Symptom Analysis) ใช้ซักประวัติ Present illness อย่างเป็นระบบ ได้แก่ Character (ลักษณะอาการ), Onset (เริ่มเมื่อไร), Location (ตำแหน่ง/ร้าวหรือไม่), Duration (นานเท่าไร เป็นๆหายๆหรือไม่), Severity (รุนแรงแค่ไหน), Pattern (อะไรทำให้ดีขึ้น/แย่ลง), Associated factors (อาการร่วม) - ตัวอย่างเคส Appendicitis: Onset = ปวดกะทันหันเมื่อ 24 ชม.ก่อน, Location = ย้ายจากรอบสะดือไปท้องน้อยขวาใน 12 ชม.แรก, Severity = Pain scale 8, Associated = คลื่นไส้อาเจียน 2 ครั้ง+ไข้ต่ำๆ - จุดสำคัญคือ Location ที่ "ย้ายตำแหน่ง" เป็น key finding ของ Appendicitis [สไลด์]	topic1
SAMPLE mnemonic ใช้ประเมินอะไร และแต่ละตัวอักษรย่อมาจากอะไร?	ใช้ซัก Past medical history/secondary survey ได้แก่ Signs and Symptoms, Allergies (แพ้ยาชา/ยาสลบ/ยาปฏิชีวนะ/อาหาร/สารเคมี), Medication (ยาประจำ/ยาสมุนไพร), Past History (เจ็บป่วย/บาดเจ็บ/ผ่าตัด/ระงับความรู้สึกในอดีต), Last oral intake, Event (เหตุการณ์นำมาสู่การเจ็บป่วยครั้งนี้) - ข้อควรระวัง: Medication ต้องถามรวมยาสมุนไพรด้วย เพราะสมุนไพรบางชนิด เช่น กระเทียม แปะก๊วย มีผลต่อการแข็งตัวของเลือดเช่นกัน [สไลด์]/[เสริม]	topic1
ทำไมพยาบาลต้องซักประวัติการดมยาสลบในอดีต และ Malignant Hyperthermia มีอาการแสดงอย่างไร?	ต้องซักเพราะ Malignant Hyperthermia (ภาวะไข้สูงร้ายแรงจากยาสลบ) เป็นภาวะแทรกซ้อนที่อันตรายถึงชีวิตและมีแนวโน้มเป็นซ้ำหากเคยเกิดมาก่อนหรือมีประวัติครอบครัว อาการแสดง: กล้ามเนื้อเกร็งแข็ง, หายใจเร็วหอบเหนื่อย, ไข้สูงฉับพลัน, ปัสสาวะสีเข้ม, เหงื่อออกมาก, Tachycardia, Severe acidosis, และ PONV รุนแรง - กลไกคือยาสลบบางชนิด เช่น succinylcholine, volatile anesthetics กระตุ้นการหดตัวของกล้ามเนื้อโครงร่างแบบควบคุมไม่ได้ ทำให้เผาผลาญพลังงานสูงจนเกิดไข้สูงและกรดคั่ง [สไลด์]/[เสริม]	topic1
ปัจจัยเสี่ยงของ PONV (Postoperative Nausea and Vomiting) ในเด็กและผู้ใหญ่แตกต่างกันอย่างไร?	เด็ก: อายุ >3 ปี, ระยะเวลาผ่าตัดนาน >30 นาที, มีประวัติ PONV หรือเมารถของตนเอง/ครอบครัว, การผ่าตัดแก้ไขตาเข (strabismus surgery) - ผู้ใหญ่: เพศหญิง, เคยมี PONV หรือเมารถ/เมาเรือมาก่อน, ไม่สูบบุหรี่ (Non-smoking - พบว่าคนไม่สูบบุหรี่เสี่ยง PONV มากกว่า), การใช้ Volatile Anesthetics, การใช้ Opioids, และ Laparoscopic Surgery - ข้อสอบมักถามแยกกลุ่มอายุ อย่าจำปนกัน [สไลด์]	topic1
