ขณะรอในห้องรอผ่าตัด	กลัวโดยไม่ทราบสาเหตุ (สิ่งแวดล้อมแปลกใหม่, ต้องแยกจากบุคคลใกล้ชิด) → วิตกกังวลเพิ่ม → เปลี่ยนแปลงร่างกาย/จิตใจ/พฤติกรรม → เป็นปัญหาและอุปสรรคต่อการผ่าตัด `[สไลด์]`	สรุป2026-08-21-unit2-psycho-social
ต้องใช้ยาระงับความรู้สึกเพิ่มขึ้น, ฟื้นตัวช้า, ปรับตัว/ฟื้นสภาพหลังผ่าตัดช้า	วิตกกังวลระดับสูงก่อนผ่าตัดใหญ่	สรุป2026-08-21-unit2-psycho-social
ปล่อย Catecholamine + Corticosteroid เข้ากระแสเลือดมากขึ้น → หัวใจ/การหายใจผิดปกติ	ระดับความวิตกกังวลสูงก่อนผ่าตัดใหญ่	สรุป2026-08-21-unit2-psycho-social
แผลหายช้า + อักเสบ เพราะ Glucocorticoids หลั่งมากกว่าปกติ	วิตกกังวลก่อนผ่าตัด	สรุป2026-08-21-unit2-psycho-social
ความดันโลหิตสูง ขณะและหลังผ่าตัด	วิตกกังวล	สรุป2026-08-21-unit2-psycho-social
HT ส่งผลต่อผลลัพธ์ผ่าตัด; งานวิจัยพบผู้สมัครผ่าตัด 43% มี HT, 24.6% เลื่อนผ่าตัดเพื่อคุม BP	HT = ปัจจัยต่อผลลัพธ์การผ่าตัด	สรุป2026-08-21-unit2-psycho-social
เทคนิคหลัก: เริ่มด้วยประโยคกว้าง+แสดงความเข้าใจ (empathy เช่น "วันนี้ดูคุณเครียด ๆ…"), ใช้คำถามปลายเปิด **หลีกเลี่ยงคำถามนำ/ปลายปิด**, ใช้คำถามเข้าใจง่ายเหมาะกับระดับความรู้, คำสุภาพ ระวังคำที่กระทบจิตใจ, น้ำเสียง/ภาษาที่ไม่ตัดสิน (โดยเฉพาะเรื่องละเอียดอ่อน	สารเสพติด/การถูกทารุณกรรม), กระตือรือร้นช่วยเหลือทันที, ถามทีละประเด็นไม่กระโดด, ใส่ใจความสุขสบาย, จัดสิ่งแวดล้อมเป็นส่วนตัวเงียบสงบ, ให้ความมั่นใจเรื่องความลับ (confidentiality) `[สไลด์]`	สรุป2026-08-21-unit2-psycho-social
จิตเภท (Schizophrenia), บุคลิกภาพผิดปกติ (Personality disorder)	**Bizarre appearance** (รูปลักษณ์แปลกประหลาด)	สรุป2026-08-21-unit2-psycho-social
อารมณ์ครื้นเครงผิดปกติ (Mania)	**Over-bright clothing** (เสื้อผ้าสีฉูดฉาดเกินไป)	สรุป2026-08-21-unit2-psycho-social
จิตเภท, โรคซึมเศร้า (Depression)	**Poorly grooming** (ละเลยการแต่งกาย/ดูแลตนเอง)	สรุป2026-08-21-unit2-psycho-social
1	ความคิด (Thought)	สรุป2026-08-21-unit2-psycho-social
2	การรับรู้ (Perception)	สรุป2026-08-21-unit2-psycho-social
3	ระดับการรู้สึกตัว (Conscious)	สรุป2026-08-21-unit2-psycho-social
4	การรับรู้เวลา/สถานที่/บุคคล (Orientation)	สรุป2026-08-21-unit2-psycho-social
5	ความรู้ทั่วไป (General knowledge)	สรุป2026-08-21-unit2-psycho-social
6	การตัดสินใจ (Judgment)	สรุป2026-08-21-unit2-psycho-social
7	การรู้จักตนเอง (Insight)	สรุป2026-08-21-unit2-psycho-social
8	ความคิดเชิงนามธรรม (Abstract thinking)	สรุป2026-08-21-unit2-psycho-social
9	ความสนใจ/สมาธิ (Concentration)	สรุป2026-08-21-unit2-psycho-social
10	ความจำ (Memory)	สรุป2026-08-21-unit2-psycho-social
Recent (ระยะสั้น)	≤1-2 วัน	สรุป2026-08-21-unit2-psycho-social
Remote (ระยะยาว)	นาน	สรุป2026-08-21-unit2-psycho-social
Recall (ทันทีทันใด)	~5 นาที	สรุป2026-08-21-unit2-psycho-social
ความคิดเชิงนามธรรม (Abstract) (★★) — ตัวอย่าง	สุภาษิต "หนีเสือปะจระเข้" → abstract: "หนีสิ่งที่ร้ายไปเจอสิ่งที่ร้ายอีก" / concrete: "หนีเสือแล้วก็เจอสัตว์ร้ายอีก"; "ส้มกับกล้วยเหมือนกันอย่างไร" → abstract "เป็นผลไม้เหมือนกัน" / concrete "กลมเหมือนกัน"	สรุป2026-08-21-unit2-psycho-social
