เป้าหมาย	ประเมินภาวะสุขภาพ → วินิจฉัยปัญหา → วางแผน/ให้การพยาบาล โดยใช้ **Nursing Process** เพื่อความปลอดภัยผู้ป่วยผ่าตัดทุกระยะ `[สไลด์]`	สรุปรวมวิชาการประเมินภาวะสุขภาพ
มิติ Nursing assessment	**Physiological, Psychological, Sociocultural, Spiritual, Environmental** `[สไลด์]`	สรุปรวมวิชาการประเมินภาวะสุขภาพ
ประสิทธิภาพขั้นกับ 3 ปัจจัย	**ความครบถ้วนของข้อมูล, ความถูกต้องของข้อมูล, ระบบบันทึกข้อมูลที่ดี/เชื่อถือได้** `[สไลด์]`	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Airway & Respiratory	Airway, SpO₂, RR, lung condition, OSA	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Cardiovascular	BP, HR, ECG, cardiac history	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Neurological	Consciousness, cognition, baseline neuro	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Bleeding & Medication	Anticoagulant, antiplatelet, coagulation	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Infection & Skin	Infection, wound, skin integrity	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Functional & Psychosocial	Mobility, frailty, anxiety, communication	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**C**haracter	ลักษณะอาการ	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**O**nset	เริ่มเมื่อไร	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**L**ocation	ตำแหน่ง/ร้าวหรือไม่	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**D**uration	นานเท่าไร เป็นๆหายๆ	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**S**everity	รุนแรงแค่ไหน	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**P**attern	อะไรทำให้ดีขึ้น/แย่ลง	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**A**ssociated factors	อาการร่วมอื่นๆ	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**Malignant Hyperthermia** (ยาสลบในอดีต)	กล้ามเนื้อเกร็งแข็ง, หายใจเร็วหอบ, ไข้สูงฉับพลัน, ปัสสาวะสีเข้ม, เหงื่อมาก, Tachycardia, Severe acidosis, PONV รุนแรง	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**เด็ก**	อายุ >3 ปี, ผ่าตัด >30 นาที, ประวัติ PONV/เมารถ (ตนหรือครอบครัว), ผ่าตัดแก้ไขตาเข	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**ผู้ใหญ่**	Female, Hx PONV/เมารถ, Non-smoking, Volatile anesthetics, Opioids, Laparoscopic surgery	สรุปรวมวิชาการประเมินภาวะสุขภาพ
**สรีรวิทยา:** การสูญเสียน้ำ/อิเล็กโตรไลท์/เลือด, VS, ความเสี่ยง	Hypothermia, Airway obstruction, Bleeding	สรุปรวมวิชาการประเมินภาวะสุขภาพ
นอนหงาย→หงาย	**< 71.4 kg**	สรุปรวมวิชาการประเมินภาวะสุขภาพ
นอนหงาย→หงาย	**> 71.4 kg**	สรุปรวมวิชาการประเมินภาวะสุขภาพ
นอนหงาย→คว่ำ	**< 33 kg**	สรุปรวมวิชาการประเมินภาวะสุขภาพ
นอนหงาย→คว่ำ	**> 33 kg**	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Complications	**PONV, Pain assessment** · Surgical wound (เลือดออก, Dressing & drains) · Fluid-Electrolyte (intake/output) · Urinary retention	สรุปรวมวิชาการประเมินภาวะสุขภาพ
1	สุขภาพดี ไม่มีความผิดปกติทางสรีรวิทยา มีเพียงโรคที่มาผ่าตัด	สรุปรวมวิชาการประเมินภาวะสุขภาพ
2	พยาธิสภาพเล็กน้อย (สูงอายุ, HT/หัวใจคุมอาการดี)	สรุปรวมวิชาการประเมินภาวะสุขภาพ
3	พยาธิสภาพรุนแรงขึ้น เป็นอุปสรรคต่อชีวิต (DM มีแทรกซ้อน, ไตวายฟอกเลือด)	สรุปรวมวิชาการประเมินภาวะสุขภาพ
4	พยาธิสภาพรุนแรงมาก คุมด้วยยา/ผ่าตัดไม่ได้ (respiratory failure ต้องเครื่องช่วยหายใจ)	สรุปรวมวิชาการประเมินภาวะสุขภาพ
5	มีชีวิตอยู่ได้เพียง 24 ชม.	สรุปรวมวิชาการประเมินภาวะสุขภาพ
6	สมองตาย มาผ่าตัดเพื่อบริจาคอวัยวะ	สรุปรวมวิชาการประเมินภาวะสุขภาพ
MI, Chronic pulmonary, Dementia, DM ไม่มีแทรกซ้อน, Rheumatoid	1	สรุปรวมวิชาการประเมินภาวะสุขภาพ
DM มีแทรกซ้อน, Hemiplegia/Paraplegia, Renal, Lymphoma, Leukemia, Malignancy	2	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Moderate/Severe liver disease	3	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Metastatic solid tumor, AIDS	6	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Hair	Inspection	สรุปรวมวิชาการประเมินภาวะสุขภาพ
Scalp	Inspect+Palp	สรุปรวมวิชาการประเมินภาวะสุขภาพ
