BSE (Breast Self Exam) อายุ 20-39 ปี	ตรวจโดยแพทย์/บุคลากรอย่างน้อยทุก 3 ปี + ตรวจเต้านมด้วยตนเองทุกเดือน	สรุป2026-09-12-pe-breast-abdomen-genitalia
BSE อายุ 40 ปีขึ้นไป	Mammogram ทุกปี + ตรวจโดยบุคลากรทุกปี + ตรวจด้วยตนเองทุกเดือน	สรุป2026-09-12-pe-breast-abdomen-genitalia
Clinical Breast Exam ประกอบด้วย	History, Visual Inspection, Palpation (ทั้งสองเต้านม รักแร้ โคนคอ)	สรุป2026-09-12-pe-breast-abdomen-genitalia
ปัจจัยเสี่ยง (Risk factors)	ประวัติครอบครัว, ได้รับ estrogen นาน (มีประจำเดือนเร็ว/หมดประจำเดือนช้า), ยาคุมกำเนิด/ฮอร์โมนทดแทน, ดื่มแอลกอฮอล์, น้ำหนักเกิน/อ้วน	สรุป2026-09-12-pe-breast-abdomen-genitalia
ท่าทางที่ต้องตรวจ 3 ท่า	1) แขนแนบลำตัว (arms at side) 2) มือเท้าสะเอว (hands on hips) 3) ยกแขนเหนือศีรษะ (arms above the head)	สรุป2026-09-12-pe-breast-abdomen-genitalia
เต้านม: สิ่งที่ต้องดู	Size, Symmetry, Contour, Color, Lesion/mass, Skin/dimpling/retraction	สรุป2026-09-12-pe-breast-abdomen-genitalia
หัวนม: สิ่งที่ต้องดู	Color, Size, Shape, Direction, Lesion, Discharge	สรุป2026-09-12-pe-breast-abdomen-genitalia
ท่าผู้ป่วย	Supine, งอแขนทำมุม 90 องศา	สรุป2026-09-12-pe-breast-abdomen-genitalia
ตำแหน่งที่คลำ	Supraclavicular, Axillary nodes, Nipples	สรุป2026-09-12-pe-breast-abdomen-genitalia
เต้านม: สิ่งที่คลำ	Consistency (ความนุ่ม), Elasticity (ความยืดหยุ่น), Mass	สรุป2026-09-12-pe-breast-abdomen-genitalia
หัวนม: สิ่งที่คลำ	Elasticity, Discharge	สรุป2026-09-12-pe-breast-abdomen-genitalia
หากพบก้อน ต้องบอก	ตำแหน่ง ขนาด รูปร่าง การเคลื่อนไหว การกดเจ็บ สีผิวหนังบริเวณที่มีก้อน	สรุป2026-09-12-pe-breast-abdomen-genitalia
หลัก "3 นิ้ว 3 ระดับ 3 แบบ" ★★★	เทคนิคการคลำเต้านมมาตรฐาน (ระบุชื่อหลักไว้ แต่รายละเอียดแต่ละคำไม่ได้ขยายความในสไลด์)	สรุป2026-09-12-pe-breast-abdomen-genitalia
1. Central group	ติดกับลำตัวด้านข้าง	สรุป2026-09-12-pe-breast-abdomen-genitalia
2. Lateral group	รักแร้ติดกับแขน	สรุป2026-09-12-pe-breast-abdomen-genitalia
3. Anterior group	รักแร้ด้านหน้า	สรุป2026-09-12-pe-breast-abdomen-genitalia
4. Posterior group	รักแร้ด้านหลัง	สรุป2026-09-12-pe-breast-abdomen-genitalia
Benign Breast Masses	Breast cysts, Fibrocystic breast changes, Fibroadenoma, Ductal papilloma	สรุป2026-09-12-pe-breast-abdomen-genitalia
Stage 0	ไม่ลุกลามในหรือนอกเต้านม (DCIS, LCIS / breast cancer in situ / noninvasive cancer)	สรุป2026-09-12-pe-breast-abdomen-genitalia
Stage I	ก้อนไม่เกิน ~1 นิ้ว ไม่ลามนอกเต้านม	สรุป2026-09-12-pe-breast-abdomen-genitalia
Stage II	ไม่เกิน 1 นิ้วแต่ลามต่อมน้ำเหลืองใต้แขน / 1-2 นิ้ว อาจลามหรือไม่ลาม / เกิน 2 นิ้วแต่ยังไม่ลามต่อมน้ำเหลือง	สรุป2026-09-12-pe-breast-abdomen-genitalia
