Hemoglobin (Hb)	ต่ำกว่า 7-8 g/dL	สรุป2026-09-01-preop-lab-documentation
Platelet Count	ต่ำกว่า 50,000/mm³	สรุป2026-09-01-preop-lab-documentation
INR (ผู้ไม่ใช้ยา)	สูงกว่า 1.5	สรุป2026-09-01-preop-lab-documentation
Potassium (K+)	ต่ำกว่า 3.0 mEq/L หรือสูงกว่า 6.0 mEq/L	สรุป2026-09-01-preop-lab-documentation
Creatinine (Cr)	สูงผิดปกติมาก (เช่น > 2.5 mg/dL)	สรุป2026-09-01-preop-lab-documentation
Glucose (FBS)	สูงกว่า 300 mg/dL	สรุป2026-09-01-preop-lab-documentation
EKG/ECG	ผู้ป่วยที่มีประวัติโรคหัวใจ, มีอาการผิดปกติที่หัวใจ (เจ็บหน้าอก, หัวใจเต้นผิดจังหวะ), ผู้สูงอายุ (≥60 ปี)	สรุป2026-09-01-preop-lab-documentation
Chest X-ray (CXR)	ผู้ป่วยที่มีประวัติโรคปอด (COPD, หอบหืดรุนแรง), สูบบุหรี่จัด, มีอาการไอ/เสมหะ	สรุป2026-09-01-preop-lab-documentation
Pregnancy Test (Beta-hCG)	ผู้ป่วยหญิงวัยเจริญพันธุ์	สรุป2026-09-01-preop-lab-documentation
แยกแนวทาง	ผู้ป่วยเด็กอายุ < 15 ปี (elective surgery) กับผู้ป่วยอายุ > 15 ปี (non-cardiac elective surgery) [หน้า 7] (อ้างอิง: กรมวิทยาศาสตร์การแพทย์, 2566)	สรุป2026-09-01-preop-lab-documentation
การแบ่งกลุ่ม Surgical risk (เด็ก) [หน้า 9]		สรุป2026-09-01-preop-lab-documentation
Low	การผ่าตัดหรือหัตถการบริเวณ skin, mucous membranes หรือ superficial connective tissue	สรุป2026-09-01-preop-lab-documentation
High	การผ่าตัดบริเวณ body cavity, เปิดแนว fascial plane, ทำ organ removal หรือเสี่ยงเสียเลือดมาก (>10% blood volume หรือ >7mL/kg)	สรุป2026-09-01-preop-lab-documentation
