เป้าหมาย	การประเมินภาวะสุขภาพ → วินิจฉัยปัญหา → วางแผน/ให้การพยาบาล โดยใช้ **Nursing Process** เป็นแนวทาง เพื่อความปลอดภัยของผู้ป่วยผ่าตัดทุกระยะ [สไลด์]	สรุป2026-08-24-health-assessment
มิติของ Nursing assessment	**Physiological, Psychological, Sociocultural, Spiritual, Environmental** [สไลด์]	สรุป2026-08-24-health-assessment
ประสิทธิภาพของการประเมินขึ้นกับ 3 ปัจจัย	ความครบถ้วนของข้อมูล, ความถูกต้องของข้อมูล, มีระบบบันทึกข้อมูลที่ดีและเชื่อถือได้ [สไลด์]	สรุป2026-08-24-health-assessment
Airway & Respiratory	Airway, SpO₂, RR, lung condition, OSA	สรุป2026-08-24-health-assessment
Cardiovascular	BP, HR, ECG, cardiac history	สรุป2026-08-24-health-assessment
Neurological	Consciousness, cognition, baseline neuro status	สรุป2026-08-24-health-assessment
Bleeding & Medication	Anticoagulant, antiplatelet, coagulation	สรุป2026-08-24-health-assessment
Infection & Skin	Infection, wound, skin integrity	สรุป2026-08-24-health-assessment
Functional & Psychosocial	Mobility, frailty, anxiety, communication	สรุป2026-08-24-health-assessment
COLDSPA Symptom Analysis Mnemonic (ใช้ลำดับเหตุการณ์ Present illness)	[สไลด์]	สรุป2026-08-24-health-assessment
**C**haracter	ลักษณะอาการ	สรุป2026-08-24-health-assessment
**O**nset	เริ่มเมื่อไร	สรุป2026-08-24-health-assessment
**L**ocation	ตำแหน่ง/ร้าวหรือไม่	สรุป2026-08-24-health-assessment
**D**uration	นานเท่าไร เป็นๆหายๆหรือไม่	สรุป2026-08-24-health-assessment
**S**everity	รุนแรงแค่ไหน	สรุป2026-08-24-health-assessment
**P**attern	อะไรทำให้ดีขึ้น/แย่ลง	สรุป2026-08-24-health-assessment
**A**ssociated factors	อาการร่วมอื่นๆ	สรุป2026-08-24-health-assessment
SAMPLE Mnemonic (Past medical history / secondary survey)	[สไลด์]	สรุป2026-08-24-health-assessment
Malignant Hyperthermia (ภาวะแทรกซ้อนจากยาสลบในอดีตต้องซัก)	กล้ามเนื้อเกร็งแข็ง, หายใจเร็วหอบเหนื่อย, ไข้สูงฉับพลัน, ปัสสาวะสีเข้ม, เหงื่อออกมาก, Tachycardia, Severe acidosis, PONV รุนแรง [สไลด์]	สรุป2026-08-24-health-assessment
เด็ก	อายุ >3 ปี, ระยะเวลาผ่าตัดนาน >30 นาที, มีประวัติ PONV/เมารถในตนเองหรือครอบครัว, การผ่าตัดแก้ไขตาเข	สรุป2026-08-24-health-assessment
ผู้ใหญ่	Female, Hx. of PONV/เมารถเมาเรือ, Non-smoking, Volatile Anesthetics, Opioids, Laparoscopic Surgery	สรุป2026-08-24-health-assessment
การประเมินทางสรีรวิทยา: การสูญเสียสารน้ำ/อิเล็กโตรไลท์/เลือด, Vital signs, ความเสี่ยง/ภาวะแทรกซ้อน	Hypothermia, Airway obstruction, Bleeding [สไลด์]	สรุป2026-08-24-health-assessment
นอนหงายราบ → นอนหงายราบ	**< 71.4 kg**	สรุป2026-08-24-health-assessment
นอนหงายราบ → นอนหงายราบ	**> 71.4 kg**	สรุป2026-08-24-health-assessment
นอนหงายราบ → นอนคว่ำ	**< 33 kg**	สรุป2026-08-24-health-assessment
นอนหงายราบ → นอนคว่ำ	**> 33 kg**	สรุป2026-08-24-health-assessment
Medical history	Chronic diseases (HT, DM, CVD, CKD, Respiratory disease), Previous surgery → complications (anesthesia response, wound healing, recovery)	สรุป2026-08-24-health-assessment
Physical exam	General health status (CV/resp), BMI, Functional status	สรุป2026-08-24-health-assessment
Lab/diagnostic	Blood tests (CBC, electrolytes, renal/liver function), Imaging (CXR, ECG), Specialized tests (PFT) เฉพาะ high-risk	สรุป2026-08-24-health-assessment
Assessment of surgical procedure	Type of surgery (complexity/duration/risk), Emergency vs Elective, Anesthesia risk [สไลด์]	สรุป2026-08-24-health-assessment
1	สุขภาพแข็งแรงดี ไม่มีความผิดปกติทางสรีรวิทยา มีเพียงโรคที่มาผ่าตัด	สรุป2026-08-24-health-assessment
2	พยาธิสภาพเล็กน้อย เช่น สูงอายุ, HT/หัวใจที่คุมอาการได้ดี	สรุป2026-08-24-health-assessment
3	พยาธิสภาพรุนแรงขึ้น เป็นอุปสรรคต่อการดำเนินชีวิต เช่น DM มีภาวะแทรกซ้อน, ไตวายฟอกเลือด	สรุป2026-08-24-health-assessment
4	พยาธิสภาพรุนแรงมาก คุมด้วยยา/ผ่าตัดไม่ได้ อันตรายต่อชีวิต เช่น ระบบหายใจล้มเหลวต้องใช้เครื่องช่วยหายใจ	สรุป2026-08-24-health-assessment
5	มีชีวิตอยู่ได้เพียง 24 ชม. ไม่ว่าจะรักษาด้วยยาหรือผ่าตัด	สรุป2026-08-24-health-assessment
6	สมองตาย มาผ่าตัดเพื่อบริจาคอวัยวะ	สรุป2026-08-24-health-assessment
MI, Chronic pulmonary disease, Dementia, DM ไม่มีภาวะแทรกซ้อน, Rheumatoid disease	1 คะแนน	สรุป2026-08-24-health-assessment
DM มีภาวะแทรกซ้อนเรื้อรัง, Hemiplegia/Paraplegia, Renal disease, Lymphoma, Leukemia, Malignancy	2 คะแนน	สรุป2026-08-24-health-assessment
Moderate/Severe liver disease	3 คะแนน	สรุป2026-08-24-health-assessment
Metastatic solid tumor, AIDS	6 คะแนน	สรุป2026-08-24-health-assessment
Physical Examination: General (Head to toe), Local examination; Evaluation	Upper airway, Respiratory system, Cardiovascular system, Vital signs [สไลด์]	สรุป2026-08-24-health-assessment
