Skin	สี (Color), รอยโรค (Lesions)	สรุป2026-09-01-pe-thorax
Normal adult	1:2	สรุป2026-09-01-pe-thorax
Barrel chest (อกถัง)	ประมาณ 1:1	สรุป2026-09-01-pe-thorax
Funnel chest (Pectus excavatum)	AP diameter ลดลง	สรุป2026-09-01-pe-thorax
Pigeon chest (Pectus carinatum)	AP กว้างขึ้น	สรุป2026-09-01-pe-thorax
Postural Kyphosis	ท่าทางไม่เหมาะสม เช่น นั่งหลังค่อมนาน แนวกระดูกยังยืดหยุ่นได้	สรุป2026-09-01-pe-thorax
Scheuermann's Kyphosis (Juvenile Kyphosis)	ความผิดปกติของโครงสร้างกระดูกสันหลัง เปลี่ยนรูปเป็น vertebral wedging หลายระดับ	สรุป2026-09-01-pe-thorax
Congenital Kyphosis	ความผิดปกติของการพัฒนากระดูกสันหลังตั้งแต่กำเนิด	สรุป2026-09-01-pe-thorax
Age-related/Degenerative Kyphosis	เกี่ยวข้องกับการเสื่อมของกระดูกสันหลัง หมอนรองกระดูก กล้ามเนื้อ, กระดูกพรุน, กระดูกสันหลังยุบ	สรุป2026-09-01-pe-thorax
Tachypnea	> 24 ครั้ง/นาที	สรุป2026-09-01-pe-thorax
Hyperventilation	> 24 ครั้ง/นาที	สรุป2026-09-01-pe-thorax
Bradypnea	< 10 bpm	สรุป2026-09-01-pe-thorax
Hypoventilation	< 10 bpm	สรุป2026-09-01-pe-thorax
Dyspnea	-	สรุป2026-09-01-pe-thorax
Cheyne-Stokes breathing	Rate variable	สรุป2026-09-01-pe-thorax
Kussmaul respiration	ปกติ/ช้า/เร็ว	สรุป2026-09-01-pe-thorax
Orthopnea	-	สรุป2026-09-01-pe-thorax
Sighing Respiration	-	สรุป2026-09-01-pe-thorax
กลิ่นผลไม้	Diabetic ketoacidosis	สรุป2026-09-01-pe-thorax
กลิ่นคาว/แอมโมเนีย	Uremia	สรุป2026-09-01-pe-thorax
กลิ่นปลาหรือถั่วเก่าๆ	Hepatic failure, Portal vein thrombosis	สรุป2026-09-01-pe-thorax
กลิ่นเหม็น	Intestinal obstruction, Nasal sinus infection, Lung abscess, Bronchiectasis	สรุป2026-09-01-pe-thorax
กลิ่นเครื่องเทศ	Pulmonic tuberculosis	สรุป2026-09-01-pe-thorax
Bronchial breath sound	ดัง, ก้อง, ระดับเสียงสูง (loud, hollow, high pitched)	สรุป2026-09-01-pe-thorax
Bronchovesicular sound	ระดับกลาง (ไม่ระบุรายละเอียดเพิ่มในสไลด์)	สรุป2026-09-01-pe-thorax
Vesicular breath sounds (Normal lung)	เบา, ทุ้ม, เสียงคล้ายลมพัดใบไม้ (soft, low pitched, rustling)	สรุป2026-09-01-pe-thorax
Stridor	Dry	สรุป2026-09-01-pe-thorax
Rhonchi (gurgles)	Dry	สรุป2026-09-01-pe-thorax
Pleural friction rub	Dry	สรุป2026-09-01-pe-thorax
Rales (Fine)	Moist	สรุป2026-09-01-pe-thorax
Rales (Medium)	Moist	สรุป2026-09-01-pe-thorax
Rales (Coarse)	Moist	สรุป2026-09-01-pe-thorax
พบใน	Asthma, Tumor, Congestive heart failure, Bronchiolitis, Pneumonia [สไลด์][หน้า 24]	สรุป2026-09-01-pe-thorax
Monophonic wheezes	เสียงโน้ตเดียว เกิดช่วงหายใจเข้าหรือออก, ความถี่คงที่หรือเปลี่ยนได้, ระยะเวลานานหรือเกิดทั้งสองช่วง	สรุป2026-09-01-pe-thorax
Polyphonic wheezes	หลายโน้ต เกิดช่วงหายใจออก, pitch สูงขึ้นเมื่อใกล้สิ้นสุดหายใจออก	สรุป2026-09-01-pe-thorax
Squawks	wheeze สั้นๆ เกิดช่วงหายใจเข้า	สรุป2026-09-01-pe-thorax
Scars	thoracotomy & sternotomy scars บ่งบอกชนิดการผ่าตัด (closed vs open cardiac surgery)	สรุป2026-09-01-pe-thorax
**Heaving**	เห็นการยกตัวขึ้นของผนังทรวงอกบริเวณหัวใจ เป็นแรงกระเพื่อม พบเมื่อหัวใจทำงานหนักหรือหัวใจโต (คนปกติไม่พบ) [หน้า 28]	สรุป2026-09-01-pe-thorax
