A	Appearance	สรุป2026-09-12-pe-neuro-msk
B	Behavior	สรุป2026-09-12-pe-neuro-msk
C	Cognitive function	สรุป2026-09-12-pe-neuro-msk
T	Thought processes and perception	สรุป2026-09-12-pe-neuro-msk
ระดับการรู้สติ (Level of Consciousness) [บรรทัด 146-167] — เรียงจากรู้สติมากไปน้อย		สรุป2026-09-12-pe-neuro-msk
ภาวะตื่นตัว (conscious/alert)	รับรู้ตนเอง/สิ่งแวดล้อมเต็มที่ รู้เวลา/สถานที่/บุคคล ปฏิบัติตามคำสั่งได้	สรุป2026-09-12-pe-neuro-msk
ง่วงซึม (drowsiness)	ซึม/หลับ เรียกปลุกด้วยคำพูดได้ ทำตามคำสั่งง่ายๆ ได้ แล้วหลับต่อ	สรุป2026-09-12-pe-neuro-msk
กระสับกระส่าย สับสน (confuse)	รู้สึกตัวแต่สับสน ไม่รู้เวลา/สถานที่/บุคคล แปลสิ่งกระตุ้นผิด	สรุป2026-09-12-pe-neuro-msk
ง่วง งง (stupor)	ต้องกระตุ้นซ้ำๆ รุนแรง (เขย่าตัว) จึงตอบสนอง คุมขับถ่ายไม่ได้	สรุป2026-09-12-pe-neuro-msk
ระยะครึ่งรู้สติ (semicoma/light coma)	ปลุกไม่ตื่น ไม่ตอบสนองคำพูด ยังมีรีเฟล็กซ์ ต้องกระตุ้นเจ็บปวด	สรุป2026-09-12-pe-neuro-msk
ระยะไม่รู้สติ (deep coma)	ไม่ตื่นเลย ไม่ตอบสนองใดๆ ไม่มีรีเฟล็กซ์	สรุป2026-09-12-pe-neuro-msk
1	Olfactory	สรุป2026-09-12-pe-neuro-msk
2	Optic	สรุป2026-09-12-pe-neuro-msk
3	Oculomotor	สรุป2026-09-12-pe-neuro-msk
4	Trochlear	สรุป2026-09-12-pe-neuro-msk
5	Trigeminal	สรุป2026-09-12-pe-neuro-msk
6	Abducens	สรุป2026-09-12-pe-neuro-msk
7	Facial	สรุป2026-09-12-pe-neuro-msk
8	Acoustic	สรุป2026-09-12-pe-neuro-msk
9	Glossopharyngeal	สรุป2026-09-12-pe-neuro-msk
10	Vagus	สรุป2026-09-12-pe-neuro-msk
11	Spinal accessory	สรุป2026-09-12-pe-neuro-msk
12	Hypoglossal	สรุป2026-09-12-pe-neuro-msk
**Pronator sign / drift test** ★	หลับตา เหยียดแขนไปข้างหน้า หงายฝ่ามือ นาน 20-30 วินาที ถ้าแขนข้างใดตกต่ำกว่าปกติ = อ่อนแรง; หรือกดแขนลงเร็วๆ แขนปกติจะเหวี่ยงกลับระดับเดิม ถ้าอ่อนแรงจะกลับมาต่ำกว่าเดิม	สรุป2026-09-12-pe-neuro-msk
**Involuntary movement**	มือสั่น (tremor), กล้ามเนื้อกระตุก (tics)	สรุป2026-09-12-pe-neuro-msk
**Romberg test**	ยืนขาชิดกัน หลับตา 20 วินาที ผู้ตรวจยืนข้างระวังล้ม สังเกตอาการเซ	สรุป2026-09-12-pe-neuro-msk
สังเกตการเดิน (gait)	เดินธรรมดา เดินต่อเท้า เดินส้นเท้า (dorsiflexion) เดินเขย่งปลายเท้า (plantar flexion)	สรุป2026-09-12-pe-neuro-msk
1) Primary sensory functions (ความรู้สึกระดับต้น)	touch, pain, temperature, vibration, position (proprioception)	สรุป2026-09-12-pe-neuro-msk
ความรู้สึกสัมผัส	สำลีปั้นปลายแหลม แตะหลังมือ/หลังเท้า/ลำตัว หลับตา	สรุป2026-09-12-pe-neuro-msk
ความรู้สึกเจ็บ	ไม้ปลายแหลม/ทู่ ให้แยกแยะ	สรุป2026-09-12-pe-neuro-msk
